,group_0,group_1,group_2,group_3,group_4,0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,0_9,0_10,0_11,0_12,0_13,0_14,0_15,0_16,0_17,0_18,0_19,0_20,1_0,1_1,1_2,1_3,1_4,1_5,1_6,1_7,1_8,1_9,1_10,1_11,1_12,1_13,1_14,1_15,1_16,1_17,1_18,1_19,1_20,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9,2_10,2_11,2_12,2_13,2_14,2_15,2_16,2_17,2_18,2_19,2_20,3_0,3_1,3_2,3_3,3_4,3_5,3_6,3_7,3_8,3_9,3_10,3_11,3_12,3_13,3_14,3_15,3_16,3_17,3_18,3_19,3_20,4_0,4_1,4_2,4_3,4_4,4_5,4_6,4_7,4_8,4_9,4_10,4_11,4_12,4_13,4_14,4_15,4_16,4_17,4_18,4_19,4_20,time_in_hours_sin,time_in_hours_cos,0,event
13/07/2014 12:45,0.227188641,0,0,0,0.071269721,0.227188641,0,0,0,0.000723644,0.010494721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000937155,0,0,0,5.30E-05,0,0,0,0,0,0,0,0,0.001768145,0.000933671,0.001365753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071269721,0.046229569,0.047922414,0.048500091,0.087732541,0.065550852,0.051929095,0.046894491,0.046611924,0.04914457,0.048549403,0.047500511,0.043913791,0.05003699,0.045501654,0.040919997,0.033858954,0.042719072,0.040839136,0.04664423,0.041849245,-0.195090322,-0.98078528,0.436,1
13/07/2014 13:00,2.470470976,0,0.080369601,0,1.819233959,2.470470976,0.227188641,0,0,0,0.000723644,0.010494721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000937155,0,0,0,5.30E-05,0,0,0,0.080369601,0,0,0,0,0.001768145,0.000933671,0.001365753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.819233959,0.071269721,0.046229569,0.047922414,0.048500091,0.087732541,0.065550852,0.051929095,0.046894491,0.046611924,0.04914457,0.048549403,0.047500511,0.043913791,0.05003699,0.045501654,0.040919997,0.033858954,0.042719072,0.040839136,0.04664423,-0.258819045,-0.965925826,0.432666667,1
13/07/2014 13:15,3.532163169,3.296997755,3.97404348,6.66741211,6.927681572,3.532163169,2.470470976,0.227188641,0,0,0,0.000723644,0.010494721,0,0,0,0,0,0,0,0,0,0,0,0,0,3.296997755,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000937155,0,0,0,5.30E-05,0,0,3.97404348,0.080369601,0,0,0,0,0.001768145,0.000933671,0.001365753,0,0,0,0,0,0,0,0,0,0,0,0,6.66741211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.927681572,1.819233959,0.071269721,0.046229569,0.047922414,0.048500091,0.087732541,0.065550852,0.051929095,0.046894491,0.046611924,0.04914457,0.048549403,0.047500511,0.043913791,0.05003699,0.045501654,0.040919997,0.033858954,0.042719072,0.040839136,-0.321439465,-0.946930129,0.439,1
13/07/2014 13:30,2.021236368,4.039098043,3.15232148,5.776377977,3.803236727,2.021236368,3.532163169,2.470470976,0.227188641,0,0,0,0.000723644,0.010494721,0,0,0,0,0,0,0,0,0,0,0,0,4.039098043,3.296997755,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000937155,0,0,0,5.30E-05,0,3.15232148,3.97404348,0.080369601,0,0,0,0,0.001768145,0.000933671,0.001365753,0,0,0,0,0,0,0,0,0,0,0,5.776377977,6.66741211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.803236727,6.927681572,1.819233959,0.071269721,0.046229569,0.047922414,0.048500091,0.087732541,0.065550852,0.051929095,0.046894491,0.046611924,0.04914457,0.048549403,0.047500511,0.043913791,0.05003699,0.045501654,0.040919997,0.033858954,0.042719072,-0.382683432,-0.923879533,0.45,1
13/07/2014 13:45,0.62489281,1.484888141,1.165397287,3.507589354,1.536154256,0.62489281,2.021236368,3.532163169,2.470470976,0.227188641,0,0,0,0.000723644,0.010494721,0,0,0,0,0,0,0,0,0,0,0,1.484888141,4.039098043,3.296997755,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000937155,0,0,0,5.30E-05,1.165397287,3.15232148,3.97404348,0.080369601,0,0,0,0,0.001768145,0.000933671,0.001365753,0,0,0,0,0,0,0,0,0,0,3.507589354,5.776377977,6.66741211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.536154256,3.803236727,6.927681572,1.819233959,0.071269721,0.046229569,0.047922414,0.048500091,0.087732541,0.065550852,0.051929095,0.046894491,0.046611924,0.04914457,0.048549403,0.047500511,0.043913791,0.05003699,0.045501654,0.040919997,0.033858954,-0.44228869,-0.896872742,1.003,1
13/07/2014 14:00,0.195654204,0.229536317,0.288591991,0.675292907,0.191072095,0.195654204,0.62489281,2.021236368,3.532163169,2.470470976,0.227188641,0,0,0,0.000723644,0.010494721,0,0,0,0,0,0,0,0,0,0,0.229536317,1.484888141,4.039098043,3.296997755,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000937155,0,0,0,0.288591991,1.165397287,3.15232148,3.97404348,0.080369601,0,0,0,0,0.001768145,0.000933671,0.001365753,0,0,0,0,0,0,0,0,0,0.675292907,3.507589354,5.776377977,6.66741211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191072095,1.536154256,3.803236727,6.927681572,1.819233959,0.071269721,0.046229569,0.047922414,0.048500091,0.087732541,0.065550852,0.051929095,0.046894491,0.046611924,0.04914457,0.048549403,0.047500511,0.043913791,0.05003699,0.045501654,0.040919997,-0.5,-0.866025404,2.287,1
13/07/2014 14:15,0.148201085,0.030628922,0.151138987,0,0.046892818,0.148201085,0.195654204,0.62489281,2.021236368,3.532163169,2.470470976,0.227188641,0,0,0,0.000723644,0.010494721,0,0,0,0,0,0,0,0,0,0.030628922,0.229536317,1.484888141,4.039098043,3.296997755,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000937155,0,0,0.151138987,0.288591991,1.165397287,3.15232148,3.97404348,0.080369601,0,0,0,0,0.001768145,0.000933671,0.001365753,0,0,0,0,0,0,0,0,0,0.675292907,3.507589354,5.776377977,6.66741211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046892818,0.191072095,1.536154256,3.803236727,6.927681572,1.819233959,0.071269721,0.046229569,0.047922414,0.048500091,0.087732541,0.065550852,0.051929095,0.046894491,0.046611924,0.04914457,0.048549403,0.047500511,0.043913791,0.05003699,0.045501654,-0.555570233,-0.831469612,2.879666667,1
13/07/2014 14:30,0.086507038,0.929385966,0.365876022,0.965011468,0.036470129,0.086507038,0.148201085,0.195654204,0.62489281,2.021236368,3.532163169,2.470470976,0.227188641,0,0,0,0.000723644,0.010494721,0,0,0,0,0,0,0,0,0.929385966,0.030628922,0.229536317,1.484888141,4.039098043,3.296997755,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000937155,0,0.365876022,0.151138987,0.288591991,1.165397287,3.15232148,3.97404348,0.080369601,0,0,0,0,0.001768145,0.000933671,0.001365753,0,0,0,0,0,0,0,0.965011468,0,0.675292907,3.507589354,5.776377977,6.66741211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036470129,0.046892818,0.191072095,1.536154256,3.803236727,6.927681572,1.819233959,0.071269721,0.046229569,0.047922414,0.048500091,0.087732541,0.065550852,0.051929095,0.046894491,0.046611924,0.04914457,0.048549403,0.047500511,0.043913791,0.05003699,-0.608761429,-0.79335334,3.052,1
13/07/2014 14:45,0.070747489,0.030266778,0.155582183,0.353987425,0.019796658,0.070747489,0.086507038,0.148201085,0.195654204,0.62489281,2.021236368,3.532163169,2.470470976,0.227188641,0,0,0,0.000723644,0.010494721,0,0,0,0,0,0,0,0.030266778,0.929385966,0.030628922,0.229536317,1.484888141,4.039098043,3.296997755,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000937155,0.155582183,0.365876022,0.151138987,0.288591991,1.165397287,3.15232148,3.97404348,0.080369601,0,0,0,0,0.001768145,0.000933671,0.001365753,0,0,0,0,0,0,0.353987425,0.965011468,0,0.675292907,3.507589354,5.776377977,6.66741211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019796658,0.036470129,0.046892818,0.191072095,1.536154256,3.803236727,6.927681572,1.819233959,0.071269721,0.046229569,0.047922414,0.048500091,0.087732541,0.065550852,0.051929095,0.046894491,0.046611924,0.04914457,0.048549403,0.047500511,0.043913791,-0.659345815,-0.751839807,2.876,1
13/07/2014 15:00,0.075444017,0,0.014181547,0,0.022664035,0.075444017,0.070747489,0.086507038,0.148201085,0.195654204,0.62489281,2.021236368,3.532163169,2.470470976,0.227188641,0,0,0,0.000723644,0.010494721,0,0,0,0,0,0,0,0.030266778,0.929385966,0.030628922,0.229536317,1.484888141,4.039098043,3.296997755,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014181547,0.155582183,0.365876022,0.151138987,0.288591991,1.165397287,3.15232148,3.97404348,0.080369601,0,0,0,0,0.001768145,0.000933671,0.001365753,0,0,0,0,0,0,0.353987425,0.965011468,0,0.675292907,3.507589354,5.776377977,6.66741211,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022664035,0.019796658,0.036470129,0.046892818,0.191072095,1.536154256,3.803236727,6.927681572,1.819233959,0.071269721,0.046229569,0.047922414,0.048500091,0.087732541,0.065550852,0.051929095,0.046894491,0.046611924,0.04914457,0.048549403,0.047500511,-0.707106781,-0.707106781,2.293666667,1
